sample,trait,value,label
plant1,in_bounds,1,none
plant1,area,51780.0,pixels
plant1,convex_hull_area,88566.5,pixels
plant1,solidity,0.5846454359153856,none
plant1,perimeter,2886.1546630859375,pixels
plant1,width,313,pixels
plant1,height,355,pixels
plant1,longest_path,3768,pixels
plant1,center_of_mass,223.38669370413288,x
plant1,center_of_mass,238.50845886442642,y
plant1,convex_hull_vertices,31,none
plant1,object_in_frame,1,none
plant1,ellipse_center,223.3994903564453,x
plant1,ellipse_center,235.09181213378906,y
plant1,ellipse_major_axis,305.4298400878906,pixels
plant1,ellipse_minor_axis,288.7095642089844,pixels
plant1,ellipse_angle,14.669882774353027,degrees
plant1,ellipse_eccentricity,0.32632807034428535,none
plant1,hue_frequencies,0.0,1
plant1,hue_frequencies,0.0,3
plant1,hue_frequencies,0.0,5
plant1,hue_frequencies,0.0,7
plant1,hue_frequencies,0.0,9
plant1,hue_frequencies,0.0,11
plant1,hue_frequencies,0.0,13
plant1,hue_frequencies,0.0,15
plant1,hue_frequencies,0.0,17
plant1,hue_frequencies,0.0,19
plant1,hue_frequencies,0.0,21
plant1,hue_frequencies,0.0,23
plant1,hue_frequencies,0.0,25
plant1,hue_frequencies,0.0,27
plant1,hue_frequencies,0.0,29
plant1,hue_frequencies,0.0,31
plant1,hue_frequencies,0.0,33
plant1,hue_frequencies,0.0,35
plant1,hue_frequencies,0.0,37
plant1,hue_frequencies,0.0,39
plant1,hue_frequencies,0.0,41
plant1,hue_frequencies,0.0,43
plant1,hue_frequencies,0.0,45
plant1,hue_frequencies,0.0,47
plant1,hue_frequencies,0.0,49
plant1,hue_frequencies,0.0,51
plant1,hue_frequencies,0.0,53
plant1,hue_frequencies,0.0,55
plant1,hue_frequencies,0.0,57
plant1,hue_frequencies,0.0,59
plant1,hue_frequencies,0.0,61
plant1,hue_frequencies,0.0,63
plant1,hue_frequencies,0.0,65
plant1,hue_frequencies,0.0,67
plant1,hue_frequencies,0.0,69
plant1,hue_frequencies,0.0,71
plant1,hue_frequencies,0.0,73
plant1,hue_frequencies,0.00772499034376207,75
plant1,hue_frequencies,0.07145616067979915,77
plant1,hue_frequencies,0.36886828891463885,79
plant1,hue_frequencies,0.7589803012746233,81
plant1,hue_frequencies,1.7033603707995364,83
plant1,hue_frequencies,3.337195828505214,85
plant1,hue_frequencies,9.258400926998842,87
plant1,hue_frequencies,26.544998068752413,89
plant1,hue_frequencies,34.39551950560062,91
plant1,hue_frequencies,15.925067593665506,93
plant1,hue_frequencies,6.427191966010043,95
plant1,hue_frequencies,0.988798764001545,97
plant1,hue_frequencies,0.16801853997682503,99
plant1,hue_frequencies,0.032831208960988796,101
plant1,hue_frequencies,0.011587485515643106,103
plant1,hue_frequencies,0.0,105
plant1,hue_frequencies,0.0,107
plant1,hue_frequencies,0.0,109
plant1,hue_frequencies,0.0,111
plant1,hue_frequencies,0.0,113
plant1,hue_frequencies,0.0,115
plant1,hue_frequencies,0.0,117
plant1,hue_frequencies,0.0,119
plant1,hue_frequencies,0.0,121
plant1,hue_frequencies,0.0,123
plant1,hue_frequencies,0.0,125
plant1,hue_frequencies,0.0,127
plant1,hue_frequencies,0.0,129
plant1,hue_frequencies,0.0,131
plant1,hue_frequencies,0.0,133
plant1,hue_frequencies,0.0,135
plant1,hue_frequencies,0.0,137
plant1,hue_frequencies,0.0,139
plant1,hue_frequencies,0.0,141
plant1,hue_frequencies,0.0,143
plant1,hue_frequencies,0.0,145
plant1,hue_frequencies,0.0,147
plant1,hue_frequencies,0.0,149
plant1,hue_frequencies,0.0,151
plant1,hue_frequencies,0.0,153
plant1,hue_frequencies,0.0,155
plant1,hue_frequencies,0.0,157
plant1,hue_frequencies,0.0,159
plant1,hue_frequencies,0.0,161
plant1,hue_frequencies,0.0,163
plant1,hue_frequencies,0.0,165
plant1,hue_frequencies,0.0,167
plant1,hue_frequencies,0.0,169
plant1,hue_frequencies,0.0,171
plant1,hue_frequencies,0.0,173
plant1,hue_frequencies,0.0,175
plant1,hue_frequencies,0.0,177
plant1,hue_frequencies,0.0,179
plant1,hue_frequencies,0.0,181
plant1,hue_frequencies,0.0,183
